res,mut,pop,p0,p1,p2,p3,p4
8k,l,100,12,231,49,8,9
10k,l,100,22,268,49,0,17
100k,l,100,31,218,38,10,7
1000k,l,100,24,157,31,5,0
8k,l,200,27,574,101,11,37
10k,l,200,41,525,107,24,52
100k,l,200,21,399,126,40,30
1000k,l,200,13,225,165,95,56
8k,l,500,186,1309,331,104,63
10k,l,500,79,1253,127,144,187
100k,l,500,141,362,713,236,71
1000k,l,500,22,264,496,543,2
8k,h,100,350,272,191,475,
10k,h,100,281,225,683,219,
100k,h,100,280,355,466,419,
1000k,h,100,191,195,598,93,
8k,h,200,778,429,513,307,
10k,h,200,706,727,648,534,
100k,h,200,619,791,982,405,
1000k,h,200,433,489,500,1049,
8k,h,500,2009,2929,1076,1076,
10k,h,500,1467,2295,1208,1592,
100k,h,500,1918,3021,300,1617,
1000k,h,500,1468,2924,235,1290,
